Text_ID,Mobile_Tech_Flag_Predicted,Brands_Entity_Identified,Sentiment_Identified
article_2064,0,,
article_2065,0,,
article_2067,0,,
article_3438,0,,
article_3439,1,One,Positive
article_3440,1,Motorola,Neutral
article_0238,0,,
article_0239,1,,
article_0240,0,,
article_3444,1,OPPO,Positive
article_3445,1,OnePlus,Positive
article_3445,1,Vi,Neutral
article_3445,1,Micromax,Positive
article_3446,0,,
article_3478,1,Nokia,Positive
article_3479,1,Realme,Positive
article_3480,0,,
tweet_0140,0,,
tweet_0141,0,,
tweet_0142,1,,
tweet_0143,0,,
tweet_0144,1,,
tweet_0145,0,,
tweet_0146,1,,
tweet_0147,0,,
tweet_3001,1,Nokia,Positive
tweet_3002,1,Samsung,Neutral
tweet_3003,1,Redmi,Neutral
tweet_3003,1,Vivo,Negative
tweet_3004,1,ATT,Neutral
tweet_3005,0,,
tweet_3006,1,,
tweet_3007,1,Nokia,Neutral
